sku,sort_order,category_path
DECO01285,1,decoration
DECO01285,2,decoration/candles-and-accessories
DECO01285,3,decoration/objects
DECO01285,4,decoration/see-all
DECO01285,5,decoration/stands
DECO01284,1,decoration
DECO01284,2,decoration/candles-and-accessories
DECO01284,3,decoration/objects
DECO01284,4,decoration/see-all
DECO01284,5,decoration/stands
DECO01283,1,decoration
DECO01283,2,decoration/candles-and-accessories
DECO01283,3,decoration/objects
DECO01283,4,decoration/see-all
DECO01283,5,decoration/stands
CI190V4,1,home
CI190V4,2,home/gift-ideas-home
CI190V4,3,home/scented-candles
CI190V4,4,home/scented-candles/classic-scented-candles
CI190V4,5,new-and-trending/summer-scents
C2,1,home
C2,2,home/scented-candles
C2,3,home/scented-candles/classic-scented-candles
HBSGELCNV1,1,bath-body-care/body-care
HBSGELCNV1,2,bath-body-care/summer-rituals
HBSGELCNV1,3,fragrances/cented-body-care
DECO01068,1,decoration
DECO01068,2,decoration/candle-holders
DECO01068,3,decoration/candles-and-accessories
DECO01068,4,decoration/gift-ideas-deco
DECO01068,5,decoration/objects
DECO01068,6,decoration/see-all
DECO01068,7,home/accessories
CORAIL100,1,fragrances/collections/ledd
CORAIL100,2,fragrances/eaux-de-ledd
CORAIL100,3,fragrances/eaux-de-parfum
CORAIL100,4,fragrances/tous-les-parfums
CORAIL100,5,new-and-trending
CR2,1,home
CR2,2,home/scented-candles
CR2,3,home/scented-candles/classic-scented-candles
CAPIHCREAMV1,1,bath-body-care
CAPIHCREAMV1,2,bath-body-care/all-bath-body-care
CAPIHCREAMV1,3,bath-body-care/hand-care
CAPIHCREAMV1,4,fragrances/cented-body-care
CAPIHCREAMV1,5,fragrances/collections/eau-capitale
CAPIHCREAMV1,6,fragrances/tous-les-parfums
CP3,1,home
CP3,2,home/scented-candles
CP3,3,home/scented-candles/classic-scented-candles
CP3,4,new-and-trending/summer-scents
DECO01409,1,decoration/stationery
DECO01409,2,new-and-trending
DECO01648,1,decoration
DECO01648,2,decoration/best-seller-deco
DECO01648,3,decoration/candles-and-accessories
DECO01648,4,decoration/lids-and-snuffers
DECO01648,5,decoration/objects
DECO01648,6,home/accessories
DECO01649,1,decoration
DECO01649,2,decoration/candles-and-accessories
DECO01649,3,decoration/objects
